100 
1000 1000 1000  
1 141 423 989 
2 415 871 288 
3 727 165 74 
4 793 489 78 
5 482 231 790 
6 218 70 956 
7 705 116 478 
8 19 996 28 
9 357 896 342 
10 888 121 274 
11 199 67 972 
12 836 318 146 
13 890 195 98 
14 331 248 887 
15 117 805 418 
16 872 143 383 
17 762 176 93 
18 461 714 23 
19 984 177 312 
20 672 182 61 
21 260 1 804 
22 913 63 61 
23 188 980 418 
24 726 244 470 
25 861 299 389 
26 377 751 139 
27 107 721 441 
28 308 336 814 
29 275 91 867 
30 295 983 222 
31 691 439 36 
32 187 732 475 
33 71 900 392 
34 235 102 965 
35 329 91 669 
36 282 796 490 
37 336 697 199 
38 1000 257 194 
39 294 878 208 
40 773 186 81 
41 1 912 365 
42 930 17 492 
43 157 947 265 
44 195 946 225 
45 755 273 438 
46 284 905 486 
47 903 87 290 
48 363 935 477 
49 429 854 175 
50 109 317 826 
51 113 175 727 
52 174 740 282 
53 438 239 905 
54 717 61 391 
55 266 778 205 
56 446 51 964 
57 827 72 383 
58 889 254 472 
59 693 9 193 
60 905 424 398 
61 449 307 861 
62 172 813 79 
63 320 450 784 
64 354 147 868 
65 469 931 160 
66 29 331 840 
67 424 994 433 
68 816 15 282 
69 36 39 966 
70 149 742 8 
71 835 432 116 
72 927 422 173 
73 89 992 408 
74 373 317 923 
75 91 275 890 
76 312 995 263 
77 427 499 718 
78 422 758 303 
79 363 974 285 
80 241 930 154 
81 731 499 189 
82 854 133 482 
83 60 260 998 
84 122 990 391 
85 358 806 312 
86 856 72 350 
87 336 452 687 
88 51 454 919 
89 371 374 813 
90 207 733 323 
91 284 167 930 
92 443 21 970 
93 474 713 448 
94 60 908 217 
95 159 294 679 
96 158 821 73 
97 43 101 993 
98 689 318 180 
99 492 427 736 
100 392 838 112 
