30 
999  999 999 
1 334 333 332 
2 334 333 332 
3 334 333 332 
4 334 333 332 
5 334 333 332 
6 334 333 332 
7 334 333 332 
8 334 333 332 
9 334 333 332 
10 334 333 332 
11 332 334 333 
12 332 334 333 
13 332 334 333 
14 332 334 333 
15 332 334 333 
16 332 334 333 
17 332 334 333 
18 332 334 333 
19 332 334 333 
20 332 334 333 
21 333 332 334 
22 333 332 334 
23 333 332 334 
24 333 332 334 
25 333 332 334 
26 333 332 334 
27 333 332 334 
28 333 332 334 
29 333 332 334 
30 333 332 334 
