200 
1000 1000 1000  
1 326 340 217 
2 103 230 295 
3 202 363 128 
4 311 228 106 
5 104 292 157 
6 345 270 386 
7 150 351 132 
8 126 126 234 
9 360 127 170 
10 300 249 396 
11 253 386 244 
12 210 169 133 
13 103 342 356 
14 205 371 336 
15 375 334 116 
16 143 103 202 
17 287 119 253 
18 167 255 126 
19 211 169 169 
20 178 347 178 
21 302 322 242 
22 119 172 372 
23 266 130 218 
24 257 235 140 
25 227 201 252 
26 394 118 348 
27 116 263 234 
28 164 183 309 
29 116 288 336 
30 293 234 327 
31 242 240 127 
32 130 170 143 
33 163 107 350 
34 170 320 177 
35 306 329 247 
36 395 244 150 
37 316 219 325 
38 109 393 355 
39 320 297 320 
40 385 120 337 
41 231 239 189 
42 222 107 355 
43 267 215 304 
44 330 372 219 
45 185 320 260 
46 196 349 331 
47 320 305 349 
48 217 115 257 
49 173 131 321 
50 373 368 192 
51 271 176 126 
52 322 260 291 
53 331 301 340 
54 114 400 349 
55 209 266 378 
56 147 176 221 
57 129 110 103 
58 336 155 226 
59 380 287 339 
60 180 254 220 
61 220 172 398 
62 294 317 279 
63 230 263 158 
64 300 389 308 
65 398 188 321 
66 377 230 201 
67 207 122 315 
68 397 208 345 
69 261 240 179 
70 199 112 143 
71 304 160 153 
72 187 308 253 
73 245 378 334 
74 306 318 203 
75 372 296 104 
76 246 200 290 
77 277 152 319 
78 172 380 322 
79 116 219 365 
80 364 334 172 
81 225 242 120 
82 331 361 233 
83 320 352 218 
84 350 232 301 
85 279 222 104 
86 249 208 106 
87 342 251 330 
88 317 297 144 
89 148 350 275 
90 310 111 379 
91 162 104 314 
92 105 232 176 
93 297 252 388 
94 215 112 233 
95 267 159 399 
96 197 223 237 
97 119 387 285 
98 141 155 375 
99 220 125 344 
100 328 339 347 
101 251 343 382 
102 320 214 263 
103 131 200 142 
104 154 395 159 
105 205 126 282 
106 233 114 393 
107 239 314 312 
108 329 398 373 
109 180 152 329 
110 233 101 126 
111 344 177 247 
112 304 294 249 
113 194 232 387 
114 382 294 284 
115 335 250 114 
116 301 191 289 
117 228 320 251 
118 233 202 226 
119 254 150 328 
120 147 105 132 
121 373 371 239 
122 193 332 303 
123 233 109 173 
124 366 254 130 
125 203 111 252 
126 140 315 322 
127 315 354 276 
128 330 214 246 
129 143 242 178 
130 214 363 391 
131 265 234 194 
132 165 231 245 
133 219 369 336 
134 285 151 155 
135 270 153 210 
136 293 385 187 
137 344 109 200 
138 154 191 145 
139 120 327 158 
140 331 232 239 
141 148 393 244 
142 195 133 318 
143 164 116 211 
144 342 179 229 
145 327 176 262 
146 300 390 296 
147 102 274 178 
148 185 237 306 
149 284 167 322 
150 236 204 255 
151 297 282 301 
152 296 178 218 
153 391 167 186 
154 137 120 103 
155 245 161 133 
156 269 116 335 
157 208 144 123 
158 239 275 216 
159 229 358 248 
160 172 260 220 
161 306 262 263 
162 243 389 185 
163 334 396 305 
164 319 167 385 
165 295 192 251 
166 108 372 304 
167 144 332 171 
168 106 319 327 
169 266 183 154 
170 169 129 223 
171 252 382 236 
172 374 377 316 
173 378 175 350 
174 321 375 364 
175 107 101 374 
176 330 162 166 
177 239 190 124 
178 232 254 185 
179 232 227 379 
180 360 318 169 
181 198 250 280 
182 249 105 229 
183 274 232 209 
184 245 148 168 
185 246 225 154 
186 223 328 203 
187 302 194 213 
188 169 131 313 
189 312 153 277 
190 372 162 269 
191 253 202 104 
192 265 239 129 
193 149 141 380 
194 186 352 313 
195 217 371 170 
196 294 100 173 
197 145 205 241 
198 118 178 217 
199 284 270 130 
200 384 147 160 
